Name,Platform,Year,Genre,Publisher
Call of Duty: Black Ops,PS3,2010,Shooter,Activision
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo
Mario Kart 7,3DS,2011,Racing,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
Super Mario 64,N64,1996,Platform,Nintendo
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Super Mario 3D Land,3DS,2011,Platform,Nintendo
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Super Mario All-Stars,SNES,1993,Platform,Nintendo
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
Super Mario 64,DS,2004,Platform,Nintendo
Just Dance 3,Wii,2011,Misc,Ubisoft
Call of Duty: Ghosts,X360,2013,Shooter,Activision
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
Mario Kart 64,N64,1996,Racing,Nintendo
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
Halo 4,X360,2012,Shooter,Microsoft Game Studios
Call of Duty: Ghosts,PS3,2013,Shooter,Activision
Just Dance 2,Wii,2010,Misc,Ubisoft
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Donkey Kong Country,SNES,1994,Platform,Nintendo
Minecraft,X360,2013,Misc,Microsoft Game Studios
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo
Super Mario Kart,SNES,1992,Racing,Nintendo
Wii Party,Wii,2010,Misc,Nintendo
Halo 2,XB,2004,Shooter,Microsoft Game Studios
Mario Party 8,Wii,2007,Misc,Nintendo
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
GoldenEye 007,N64,1997,Shooter,Nintendo
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
Super Mario Bros. 2,NES,1988,Platform,Nintendo
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
Call of Duty: World at War,X360,2008,Shooter,Activision
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Just Dance,Wii,2009,Misc,Ubisoft
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
Mario Kart 8,WiiU,2014,Racing,Nintendo
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
Just Dance 4,Wii,2012,Misc,Ubisoft
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
Big Brain Academy,DS,2005,Misc,Nintendo
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
The Legend of Zelda,NES,1986,Action,Nintendo
Assassin's Creed III,PS3,2012,Action,Ubisoft
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
Red Dead Redemption,X360,2010,Action,Take-Two Interactive
Super Mario Sunshine,GC,2002,Platform,Nintendo
World of Warcraft,PC,2004,Role-Playing,Activision
Kinect Sports,X360,2010,Sports,Microsoft Game Studios
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
Gears of War,X360,2006,Shooter,Microsoft Game Studios
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
Destiny,PS4,2014,Shooter,Activision
Tetris,NES,1988,Puzzle,Nintendo
Assassin's Creed II,PS3,2009,Action,Ubisoft
Super Smash Bros.,N64,1999,Fighting,Nintendo
Assassin's Creed,X360,2007,Adventure,Ubisoft
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
Super Mario Advance,GBA,2001,Platform,Nintendo
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
Super Mario World,GBA,2001,Platform,Nintendo
Pokemon Stadium,N64,1999,Strategy,Nintendo
Call of Duty: World at War,PS3,2008,Shooter,Activision
Dr. Mario,GB,1989,Puzzle,Nintendo
Pokemon Pinball,GB,1999,Misc,Nintendo
Assassin's Creed III,X360,2012,Action,Ubisoft
Donkey Kong 64,N64,1999,Platform,Nintendo
Assassin's Creed II,X360,2009,Action,Ubisoft
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
Diablo III,PC,2012,Role-Playing,Activision
Super Mario Bros. 3,GBA,2003,Platform,Nintendo
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
Tomodachi Life,3DS,2013,Simulation,Nintendo
Kirby's Dream Land,GB,1992,Platform,Nintendo
Fable III,X360,2010,Role-Playing,Microsoft Game Studios
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
Super Mario Bros.,GB,1999,Platform,Nintendo
Tony Hawk's Pro Skater,PS,1999,Sports,Activision
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Diddy Kong Racing,N64,1997,Racing,Nintendo
Dr. Mario,NES,1990,Puzzle,Nintendo
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
Assassin's Creed,PS3,2007,Adventure,Ubisoft
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo
Splatoon,WiiU,2015,Shooter,Nintendo
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
Pitfall!,2600,1981,Platform,Activision
Spider-Man: The Movie,PS2,2002,Action,Activision
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision
Nintendo Land,WiiU,2012,Misc,Nintendo
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision
Fable II,X360,2008,Role-Playing,Microsoft Game Studios
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios
Super Mario 3D World,WiiU,2013,Platform,Nintendo
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft
Excitebike,NES,1984,Racing,Nintendo
Watch Dogs,PS4,2014,Action,Ubisoft
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo
Carnival Games,Wii,2007,Misc,Take-Two Interactive
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios
Far Cry 4,PS4,2014,Shooter,Ubisoft
Star Fox 64,N64,1997,Shooter,Nintendo
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe
Golf,NES,1984,Sports,Nintendo
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft
Donkey Kong Land,GB,1994,Platform,Nintendo
Tony Hawk's Underground,PS2,2003,Sports,Activision
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo
NBA 2K16,PS4,2015,Sports,Take-Two Interactive
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo
Nintendogs + cats,3DS,2011,Simulation,Nintendo
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision
Just Dance 2014,Wii,2013,Misc,Ubisoft
Super Paper Mario,Wii,2007,Platform,Nintendo
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo
Friend Collection,DS,2009,Misc,Nintendo
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive
Banjo-Kazooie,N64,1998,Platform,Nintendo
Guitar Hero: World Tour,Wii,2008,Misc,Activision
Pokemon Snap,N64,1999,Simulation,Nintendo
Call of Duty: Ghosts,PS4,2013,Shooter,Activision
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
Luigi's Mansion,GC,2001,Action,Nintendo
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft
Kung Fu,NES,1985,Action,Nintendo
Clubhouse Games,DS,2006,Misc,Nintendo
Guitar Hero: On Tour,DS,2008,Misc,Activision
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft
Far Cry 3,PS3,2012,Shooter,Ubisoft
Borderlands,X360,2009,Shooter,Take-Two Interactive
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive
Spider-Man 2,PS2,2004,Action,Activision
F-1 Race,GB,1990,Racing,Nintendo
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo
Mario Party 9,Wii,2012,Misc,Nintendo
Max Payne,PS2,2001,Shooter,Take-Two Interactive
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
Destiny,XOne,2014,Shooter,Activision
True Crime: Streets of LA,PS2,2003,Action,Activision
Wii Music,Wii,2008,Misc,Nintendo
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo
Baseball,NES,1983,Sports,Nintendo
Killer Instinct,SNES,1995,Fighting,Nintendo
Super Mario Maker,WiiU,2015,Platform,Nintendo
Rhythm Heaven,DS,2008,Misc,Nintendo
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe
Animal Crossing,GC,2001,Simulation,Nintendo
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios
Spider-Man,PS,2000,Action,Activision
Star Wars Episode I Racer,N64,1999,Racing,Nintendo
Personal Trainer: Cooking,DS,2006,Misc,Nintendo
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft
Borderlands 2,X360,2012,Shooter,Take-Two Interactive
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo
Donkey Kong,GB,1994,Platform,Nintendo
Kung Fu Panda,X360,2008,Action,Activision
Far Cry 3,X360,2012,Shooter,Ubisoft
Rayman,PS,1995,Platform,Ubisoft
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios
NBA 2K13,X360,2012,Sports,Take-Two Interactive
Star Fox,SNES,1993,Shooter,Nintendo
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo
Kirby Super Star Ultra,DS,2008,Platform,Nintendo
Wave Race 64,N64,1996,Racing,Nintendo
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision
Imagine: Babyz,DS,2007,Simulation,Ubisoft
Call of Duty: Ghosts,XOne,2013,Shooter,Activision
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft
F-Zero,SNES,1990,Racing,Nintendo
Yoshi's Story,N64,1997,Platform,Nintendo
Skylanders: Spyro's Adventure,Wii,2011,Action,Activision
Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft
BioShock,X360,2007,Shooter,Take-Two Interactive
Metroid Prime,GC,2002,Shooter,Nintendo
Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft
Yoshi's Island DS,DS,2006,Platform,Nintendo
Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo
Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo
Mario Paint,SNES,1992,Misc,Nintendo
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft
Pokémon Stadium 2,N64,2000,Strategy,Nintendo
Metroid,NES,1986,Action,Nintendo
L.A. Noire,X360,2011,Adventure,Take-Two Interactive
Call of Duty 3,X360,2006,Shooter,Activision
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo
Mario Party,N64,1998,Misc,Nintendo
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision
Guitar Hero: World Tour,X360,2008,Misc,Activision
Fable,XB,2004,Role-Playing,Microsoft Game Studios
Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft
Skylanders Giants,Wii,2012,Action,Activision
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo
Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo
Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive
Halo Wars,X360,2009,Strategy,Microsoft Game Studios
Mario Strikers Charged,Wii,2007,Sports,Nintendo
NBA 2K12,X360,2011,Sports,Take-Two Interactive
Style Savvy,DS,2008,Simulation,Nintendo
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo
Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive
Art Academy,DS,2010,Misc,Nintendo
Pokémon Colosseum,GC,2003,Role-Playing,Nintendo
Perfect Dark,N64,2000,Action,Nintendo
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision
Mario Party 2,N64,1999,Misc,Nintendo
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive
NBA 2K13,PS3,2012,Sports,Take-Two Interactive
NBA 2K14,X360,2013,Sports,Take-Two Interactive
Mario Party 4,GC,2002,Misc,Nintendo
Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft
Ice Hockey,NES,1988,Sports,Nintendo
Minecraft,XOne,2014,Misc,Microsoft Game Studios
Pro Wrestling,NES,1987,Fighting,Nintendo
Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios
NBA 2K15,PS4,2014,Sports,Take-Two Interactive
Tony Hawk's Underground 2,PS2,2004,Sports,Activision
Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios
Kirby's Dream Land 2,GB,1995,Platform,Nintendo
Donkey Kong Land II,GB,1996,Platform,Nintendo
Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive
Skylanders SWAP Force,Wii,2013,Platform,Activision
My Fitness Coach,Wii,2008,Sports,Ubisoft
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo
NBA 2K16,XOne,2015,Sports,Take-Two Interactive
Just Dance Kids,Wii,2010,Misc,Ubisoft
Mario Tennis,N64,2000,Sports,Nintendo
Grand Theft Auto,PS,1997,Action,Take-Two Interactive
WarioWare Touched!,DS,2004,Puzzle,Nintendo
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo
Just Dance 2015,Wii,2014,Misc,Ubisoft
Mario Bros.,NES,1983,Platform,Nintendo
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive
Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo
Wario Land 4,GBA,2001,Platform,Nintendo
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision
Call of Duty 3,Wii,0,Shooter,Activision
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo
Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision
New Super Luigi U,WiiU,2013,Platform,Nintendo
Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft
The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo
BioShock 2,X360,2010,Shooter,Take-Two Interactive
Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft
Guitar Hero II,X360,2007,Misc,Activision
Wario Land 3,GB,2000,Platform,Nintendo
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision
Kirby's Pinball Land,GB,1992,Misc,Nintendo
Donkey Kong Country,GB,2000,Platform,Nintendo
Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios
Pokemon Ranger,DS,2006,Role-Playing,Nintendo
Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo
Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo
Tennis,NES,1984,Sports,Nintendo
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft
Volleyball,NES,1987,Sports,Nintendo
Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,Nintendo
Mahjong,NES,1983,Misc,Nintendo
R.C. Pro-Am,NES,1988,Racing,Nintendo
Tetris DS,DS,2006,Puzzle,Nintendo
Far Cry: Primal,PS4,2016,Action,Ubisoft
Kirby's Epic Yarn,Wii,2010,Platform,Nintendo
Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios
Golf,GB,1989,Sports,Nintendo
NBA 2K12,PS3,2011,Sports,Take-Two Interactive
Borderlands,PS3,2009,Shooter,Take-Two Interactive
Tony Hawk's Pro Skater,N64,2000,Sports,Activision
Mario Sports Mix,Wii,2010,Sports,Nintendo
Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios
NBA 2K11,X360,2010,Action,Take-Two Interactive
World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision
Mario Party 5,GC,2003,Misc,Nintendo
Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive
Warcraft: Orcs & Humans,PC,1994,Strategy,Activision
Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive
Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo
Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo
Carnival Games,DS,2008,Misc,Take-Two Interactive
NBA 2K14,PS3,2013,Sports,Take-Two Interactive
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo
Diablo III,PS3,2013,Role-Playing,Activision
PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios
Dance Central 2,X360,2011,Misc,Microsoft Game Studios
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft
Donkey Kong Country,GBA,2003,Platform,Nintendo
1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo
Just Dance 3,X360,2011,Misc,Ubisoft
Call of Duty 2,X360,2005,Shooter,Activision
Forza Horizon,X360,2012,Racing,Microsoft Game Studios
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo
Super Street Fighter II,SNES,1993,Fighting,Nintendo
Tenchu: Stealth Assassins,PS,1997,Action,Activision
Tennis,GB,1989,Sports,Nintendo
SimCity,SNES,1991,Simulation,Nintendo
Call of Duty: World at War,Wii,2008,Shooter,Activision
BioShock Infinite,X360,2013,Shooter,Take-Two Interactive
Rad Racer,NES,1986,Racing,Nintendo
Soccer,NES,1985,Sports,Nintendo
Kirby Squeak Squad,DS,2006,Platform,Nintendo
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft
Destiny,X360,2014,Shooter,Activision
Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive
Alleyway,GB,1989,Puzzle,Nintendo
Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft
X-Men Legends,PS2,2004,Role-Playing,Activision
Guitar Hero: World Tour,PS3,2008,Misc,Activision
Tetris DX,GB,1998,Puzzle,Nintendo
Watch Dogs,PS3,2014,Action,Ubisoft
Mario Super Sluggers,Wii,2008,Sports,Nintendo
The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo
Mario Party 3,N64,2000,Misc,Nintendo
Destiny: The Taken King,PS4,2015,Shooter,Activision
Max Payne 3,PS3,2012,Shooter,Take-Two Interactive
Yokai Watch,3DS,2013,Role-Playing,Nintendo
Star Fox Adventures,GC,2002,Adventure,Nintendo
Donkey Kong Country Returns,3DS,2013,Platform,Nintendo
The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo
Shrek 2,PS2,2004,Platform,Activision
GoldenEye 007 (2010),Wii,2010,Action,Activision
Mario Party: Island Tour,3DS,2013,Misc,Nintendo
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft
Pinball,NES,1984,Action,Nintendo
"Hey You, Pikachu!",N64,1998,Simulation,Nintendo
World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo
Guitar Hero: World Tour,PS2,2008,Misc,Activision
NBA 2K11,PS3,2010,Action,Take-Two Interactive
Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios
Midnight Club II,PS2,2003,Racing,Take-Two Interactive
Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo
Wii Party U,WiiU,2013,Misc,Nintendo
Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo
Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo
Golden Sun,GBA,2001,Role-Playing,Nintendo
Kid Icarus,NES,1986,Platform,Nintendo
Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft
State of Emergency,PS2,2002,Action,Take-Two Interactive
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive
Call of Duty: Black Ops 3,X360,2015,Shooter,Activision
Star Wars: Starfighter,PS2,2001,Simulation,Activision
Star Wars: Battlefront,XB,2004,Shooter,Activision
Crackdown,X360,2007,Shooter,Microsoft Game Studios
Yoshi,NES,1991,Puzzle,Nintendo
Kirby's Adventure,NES,1993,Platform,Nintendo
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios
Cruis'n USA,N64,1996,Racing,Nintendo
Diablo III,PS4,2014,Role-Playing,Activision
Destiny,PS3,2014,Shooter,Activision
Overwatch,PS4,2016,Shooter,Activision
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Take-Two Interactive
Call of Duty: World at War Final Fronts,PS2,2008,Shooter,Activision
Imagine: Teacher,DS,2008,Simulation,Ubisoft
